,time,link
37,"July 24, 2022 1:09 am",https://www.loksatta.com/lokrang/article-on-poet-satish-kalsekar-on-first-birth-anniversary-zws-70-3036607/
38,"July 24, 2022 1:05 am",https://www.loksatta.com/lokrang/sarjanshil-book-by-dr-avinash-supe-zws-70-3036704/
39,"July 24, 2022 1:01 am",https://www.loksatta.com/lokrang/palakshala-book-by-dr-shreeram-geet-zws-70-3036705/
40,"July 17, 2022 12:17 am",https://www.loksatta.com/lokrang/president-constitution-president-authority-cabinet-advised-national-interest-authority-ysh-95-3024183/
41,,https://www.loksatta.com/krida/23-times-grandslam-winner-serena-williams-announce-retirement-when-will-pay-last-match-rmm-97-3064913/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest
42,,https://www.loksatta.com/manoranjan/amruta-subhash-starar-punashch-honeymon-drama-review-mrj-95-3064908/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest
43,,https://www.loksatta.com/manoranjan/sushmita-sen-ex-boyfriend-rohman-shawl-attend-actress-family-party-watch-video-mrj-95-3064866/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest
44,,https://www.loksatta.com/maharashtra/election-commission-given-4-week-times-to-provide-documents-for-claiming-shiv-sena-party-and-bow-and-arrow-logo-prd-96-3064870/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest
45,,https://www.loksatta.com/maharashtra/eknath-shinde-comment-on-allegation-of-male-dominated-cabinet-pbs-91-3064860/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest
46,6 hours ago,https://www.loksatta.com/photos/trending-gallery/3064639/independence-day-special-gold-petrol-milk-price-rate-comparison-1947-to-2022-dpj-91/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=photogallery
47,6 hours ago,https://www.loksatta.com/photos/news/3064700/eknath-shinde-devendra-fadnavis-maharashtra-government-cabinet-expansion-cm-gives-reason-why-sanjay-rathod-given-minister-oath-even-after-pooja-chavan-case-issue-scsg-91/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=photogallery
48,6 hours ago,https://www.loksatta.com/photos/entertainment-gallery/3064701/marathi-actress-amruta-khanvilkar-bold-photoshoot-goes-viral-on-social-media-see-pics-kmd-95/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=photogallery
49,,https://www.loksatta.com/sampadkiya/how-are-colleges-in-maharashtra-behind-in-this-ranking-pkd-83-3061131/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
50,,https://www.loksatta.com/sampadkiya/the-indian-nationalism-rooted-here-is-the-gift-of-the-national-saint-who-calls-himself-sanatani-hindu-pkd-83-3061126/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
51,,https://www.loksatta.com/sampadkiya/editorial/loksatta-editorial-on-woman-gang-raped-in-bhandara-zws-70-3061001/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
52,,https://www.loksatta.com/sampadkiya/columns/china-fires-missiles-near-taiwan-zws-70-3060999/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
53,,https://www.loksatta.com/sampadkiya/columns/congress-protest-against-modi-government-on-inflation-issue-zws-70-3060973/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
54,,https://www.loksatta.com/sampadkiya/columns/hemifacial-spasm-surgery-surgery-for-hemifacial-spasm-hemifacial-spasm-treatment-zws-70-3060970/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
55,,https://www.loksatta.com/sampadkiya/columns/readers-opinion-on-loksatta-article-loksatta-readers-mail-zws-70-3060972/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
56,,https://www.loksatta.com/sampadkiya/columns/samyog-acharya-vinoba-bhave-reformulate-important-concepts-related-to-yajna-zws-70-3060971/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
57,"July 17, 2022 12:16 am",https://www.loksatta.com/lokrang/gangadhar-patil-review-readers-marathi-literature-ysh-95-3024182/
58,"July 17, 2022 12:15 am",https://www.loksatta.com/lokrang/abhijat-author-arundhati-devsthale-bergman-baltic-sea-modern-friends-sweden-ysh-95-3024181/
59,"July 17, 2022 12:06 am",https://www.loksatta.com/lokrang/padsad-loksatta-readers-response-letter-ysh-95-3-3024180/
60,"July 17, 2022 12:03 am",https://www.loksatta.com/lokrang/docility-circular-around-table-distance-answer-question-ysh-95-3024154/
61,"July 17, 2022 12:02 am",https://www.loksatta.com/lokrang/amazing-things-ranshiwar-collection-stories-publishing-house-ysh-95-3024138/
62,"July 17, 2022 12:02 am",https://www.loksatta.com/lokrang/economic-freedom-bitcoin-currency-banking-arrangement-digital-currency-ysh-95-3024152/
63,"July 17, 2022 12:02 am",https://www.loksatta.com/lokrang/a-clash-of-symbols-writing-to-letters-marathi-ysh-95-3024153/
64,"July 17, 2022 12:02 am",https://www.loksatta.com/lokrang/raincoat-yard-soil-with-love-the-rain-ysh-95-3024155/
65,"July 17, 2022 12:02 am",https://www.loksatta.com/lokrang/kalaswad-prof-rajadhyaksha-prabha-achievement-painting-legally-written-ysh-95-3024156/
66,"July 10, 2022 1:11 am",https://www.loksatta.com/lokrang/article-about-maharashtra-political-crisis-big-political-drama-in-maharashtra-zws-70-3012953/
67,"July 10, 2022 1:07 am",https://www.loksatta.com/lokrang/making-story-of-peter-brook-s-nine-hour-play-mahabharata-zws-70-3012952/
68,"July 10, 2022 1:06 am",https://www.loksatta.com/lokrang/draupadi-of-peter-brook-s-mahabharata-actress-mallika-sarabhai-share-experience-of-drama-zws-70-3012827/
69,,https://www.loksatta.com/lifestyle/do-you-know-the-right-way-to-drink-water-a-mistake-can-be-the-cause-of-serious-diseases-pvp-97-3064849/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest
70,,https://www.loksatta.com/pune/hieves-in-rajasthan-caught-stealing-electrical-materials-pune-print-news-amy-95-3064803/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest
71,,https://www.loksatta.com/manoranjan/sonam-kapoor-made-fun-of-ranbir-kapoor-film-brahmastra-says-he-is-promoting-shiva-number-one-mrj-95-3064810/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest
72,,https://www.loksatta.com/maharashtra/prahar-sanghatana-leader-bachchu-kadu-reaction-after-cabinet-expansion-rmm-97-3064818/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest
73,,https://www.loksatta.com/maharashtra/nitin-gadkari-say-government-will-work-according-to-ministers-not-officers-rno-news-pbs-91-3064756/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest
74,7 hours ago,https://www.loksatta.com/photos/news/3064541/nitin-gadkari-share-image-of-ambala-kotputli-highway-spb-94/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=photogallery
75,7 hours ago,https://www.loksatta.com/photos/entertainment-gallery/3064299/superstar-mahesh-babu-speaks-marathi-wife-namrata-gave-interesting-reply-nrp-97/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=photogallery
76,9 hours ago,https://www.loksatta.com/photos/news/3064023/ncp-serious-allegations-on-17-ministers-out-of-18-after-shinde-fadnavis-government-cabinet-expansion-pbs-91/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=photogallery
77,,https://www.loksatta.com/sampadkiya/government-is-conducting-third-vaccination-drive-to-clear-the-vaccination-stock-pkd-83-3060192/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
78,,https://www.loksatta.com/sampadkiya/features/samparc-organization-report-on-maharashtra-assembly-session-during-covid-period-zws-70-3059826/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
79,,https://www.loksatta.com/sampadkiya/columns/loksatta-readers-reaction-on-sampadkiya-article-zws-70-3059815/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
